
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0087                          C67                              117   1      1   1   1 1           1 0 VCC3V3              (4211-45-13)
10-0087                          C67                              117   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0087                          C74                              114   1      1   1   1 1           1 0 VCC5V               (4123-70-13)
10-0087                          C74                              114   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0087                          C77                              115   1      1   1   1 1           1 0 VCC5V               (4123-70-13)
10-0087                          C77                              115   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0087                          C78                              116   1      1   1   1 1           1 0 VCC3V3              (4211-45-13)
10-0087                          C78                              116   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0105                          C65                               93   1      1   1   1 1           1 0 XSIG040192          (4376-1-13)
10-0105                          C65                               93   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0106                          C59                              106   1      1   1   1 1           1 0 VCC3V               (4211-1-13)
10-0106                          C59                              106   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0106                          C60                              105   1      1   1   1 1           1 0 VCC3V3              (4211-45-13)
10-0106                          C60                              105   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0106                          C63                              104   1      1   1   1 1           1 0 VCC2V5              (4123-2-13)
10-0106                          C63                              104   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0106                          C64                              107   1      1   1   1 1           1 0 VCC3V3              (4211-45-13)
10-0106                          C64                              107   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0113                          C21                               49   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0113                          C21                               49   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0113                          C22                               48   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0113                          C22                               48   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0113                          C23                               47   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0113                          C23                               47   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0113                          C24                               46   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0113                          C24                               46   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0113                          C25                               42   1      1   1   1 1           1 0 VCC5VLED            (4281-5-13)
10-0113                          C25                               42   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0113                          C26                               43   1      1   1   1 1           1 0 VCC5VLED            (4281-5-13)
10-0113                          C26                               43   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0113                          C27                               44   1      1   1   1 1           1 0 VCC5VLED            (4281-5-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0113                          C27                               44   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0113                          C61                               45   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0113                          C61                               45   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C29                               70   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C29                               70   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C30                               69   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C30                               69   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C31                               58   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C31                               58   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C32                               57   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C32                               57   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C33                               56   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C33                               56   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C34                               55   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C34                               55   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C35                               60   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C35                               60   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C36                               59   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C36                               59   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C37                               76   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C37                               76   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C38                               75   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C38                               75   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C39                               74   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C39                               74   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C40                               73   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C40                               73   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C41                               72   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C41                               72   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C42                               71   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C42                               71   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C43                               68   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C43                               68   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C44                               67   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C44                               67   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C45                               78   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C45                               78   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C46                               77   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C46                               77   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C47                               66   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C47                               66   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C48                               65   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C48                               65   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C49                               62   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C49                               62   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C50                               61   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C50                               61   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C51                               64   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C51                               64   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C52                               63   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C52                               63   1      2   1   1 2           2 0 GND                 (43-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0114                          C53                               82   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C53                               82   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C54                               81   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C54                               81   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C55                               80   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C55                               80   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C56                               79   1      1   1   1 1           1 0 VCC1V2              (4123-1-13)
10-0114                          C56                               79   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C79                               51   1      1   1   1 1           1 0 VCC2V5              (4123-2-13)
10-0114                          C79                               51   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C80                               52   1      1   1   1 1           1 0 VCC2V5              (4123-2-13)
10-0114                          C80                               52   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C81                               53   1      1   1   1 1           1 0 VCC2V5              (4123-2-13)
10-0114                          C81                               53   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0114                          C82                               54   1      1   1   1 1           1 0 VCC2V5              (4123-2-13)
10-0114                          C82                               54   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0115                          C28                               86   1      1   1   1 1           1 0 VCC12V              (4162-1-13)
10-0115                          C28                               86   1      2   2   1 2           2 0 GND                 (43-1-13)
10-0115                          C68                               87   1      1   1   1 1           1 0 VCC12V              (4162-1-13)
10-0115                          C68                               87   1      2   2   1 2           2 0 GND                 (43-1-13)
10-0115                          C69                               88   1      1   1   1 1           1 0 VCC12V              (4162-1-13)
10-0115                          C69                               88   1      2   2   1 2           2 0 GND                 (43-1-13)
10-0115                          C70                               89   1      1   1   1 1           1 0 VCC12V              (4162-1-13)
10-0115                          C70                               89   1      2   2   1 2           2 0 GND                 (43-1-13)
10-0115                          C71                               83   1      1   1   1 1           1 0 VCC5VLED            (4281-5-13)
10-0115                          C71                               83   1      2   2   1 2           2 0 GND                 (43-1-13)
10-0115                          C72                               84   1      1   1   1 1           1 0 VCC5VLED            (4281-5-13)
10-0115                          C72                               84   1      2   2   1 2           2 0 GND                 (43-1-13)
10-0115                          C73                               85   1      1   1   1 1           1 0 VCC5VLED            (4281-5-13)
10-0115                          C73                               85   1      2   2   1 2           2 0 GND                 (43-1-13)
10-0117                          C62                               92   1      1   1   1 1           1 0 VCC3V3              (4211-45-13)
