
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0058                          C17                             2011   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C18                             2008   1      1   1   1 1           1 0 XSIG090281          (4347-670-13)
10-0058                          C18                             2008   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C19                             2017   1      1   1   1 1           1 0 XSIG090300          (4347-673-13)
10-0058                          C19                             2017   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C20                             2005   1      1   1   1 1           1 0 XSIG090319          (4347-676-13)
10-0058                          C20                             2005   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C21                             2002   1      1   1   1 1           1 0 XSIG090338          (4347-679-13)
10-0058                          C21                             2002   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C22                             2015   1      1   1   1 1           1 0 XSIG090169          (4347-664-13)
10-0058                          C22                             2015   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C23                             2016   1      1   1   1 1           1 0 XSIG090169          (4347-664-13)
10-0058                          C23                             2016   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C24                             2012   1      1   1   1 1           1 0 XSIG090186          (4347-667-13)
10-0058                          C24                             2012   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C25                             2013   1      1   1   1 1           1 0 XSIG090186          (4347-667-13)
10-0058                          C25                             2013   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C26                             2009   1      1   1   1 1           1 0 XSIG090281          (4347-670-13)
10-0058                          C26                             2009   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C27                             2010   1      1   1   1 1           1 0 XSIG090281          (4347-670-13)
10-0058                          C27                             2010   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C28                             2018   1      1   1   1 1           1 0 XSIG090300          (4347-673-13)
10-0058                          C28                             2018   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C29                             2019   1      1   1   1 1           1 0 XSIG090300          (4347-673-13)
10-0058                          C29                             2019   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C30                             2006   1      1   1   1 1           1 0 XSIG090319          (4347-676-13)
10-0058                          C30                             2006   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C31                             2007   1      1   1   1 1           1 0 XSIG090319          (4347-676-13)
10-0058                          C31                             2007   1      2   1   1 2           2 0 GND                 (4178-22-13)
