=======================================================================
Xpedition Layout - Version 117.0.817.8330
=======================================================================

RELOAD CELLS

Job Directory:  D:\Documents\SpiROSE\PCB\Test_LED\PCB\


Design Units:(mm)

Replace Cell Log:   repCellLog63.txt

Tue Jan 02 20:14:36 2018

Reference Designator            Cell Name                         New Cell Name
===============================================================================


---------------  RELOAD CELLS  Tue Jan 02 20:14:36 2018  ---------------




---------------  RELOAD CELLS TMP  Tue Jan 02 20:14:36 2018  ---------------


C13                             C0402                             C0402                           
Q17                             SOT23                             SOT23                           
Q26                             SOT23                             SOT23                           
PT32                            PTEST_0.90MM_TH                   PTEST_0.90MM_TH                 
R42                             R0402                             R0402                           
R53                             R0402                             R0402                           
R63                             R0402                             R0402                           
R17                             R0402                             R0402                           
Q34                             SOT23                             SOT23                           
PT6                             PTEST_0.90MM_TH                   PTEST_0.90MM_TH                 
R74                             R0402                             R0402                           
Q7                              SOT23                             SOT23                           
C23                             C0402                             C0402                           
C46                             C0603                             C0603                           
R34                             R0402                             R0402                           
C57                             C0805                             C0805                           
R26                             R0402                             R0402                           
C40                             C0603                             C0603                           
Q10                             SOT23                             SOT23                           
C32                             C0402                             C0402                           
C38                             C0603                             C0603                           
Q8                              SOT23                             SOT23                           
R64                             R0402                             R0402                           
R7                              R0402                             R0402                           
R10                             R0402                             R0402                           
R54                             R0402                             R0402                           
Q6                              SOT23                             SOT23                           
C14                             C0402                             C0402                           
R43                             R0402                             R0402                           
PT7                             PTEST_0.90MM_TH                   PTEST_0.90MM_TH                 
Q2                              SOT23                             SOT23                           
Q20                             SOT23                             SOT23                           
Q27                             SOT23                             SOT23                           
C47                             C0603                             C0603                           
C58                             C0805                             C0805                           
R75                             R0402                             R0402                           
Q18                             SOT23                             SOT23                           
C60                             C0603                             C0603                           
Q5                              SOT23                             SOT23                           
R65                             R0402                             R0402                           
C1                              C0402                             C0402                           
R18                             R0402                             R0402                           
R27                             R0402                             R0402                           
R20                             R0402                             R0402                           
C33                             C0402                             C0402                           
Q35                             SOT23                             SOT23                           
Q11                             SOT23                             SOT23                           
R8                              R0402                             R0402                           
R2                              R0402                             R0402                           
R6                              R0402                             R0402                           
C24                             C0402                             C0402                           
R35                             R0402                             R0402                           
R55                             R0402                             R0402                           
C41                             C0603                             C0603                           
R44                             R0402                             R0402                           
C39                             C0603                             C0603                           
C48                             C0603                             C0603                           
PT8                             PTEST_0.90MM_TH                   PTEST_0.90MM_TH                 
R5                              R0402                             R0402                           
R11                             R0402                             R0402                           
Q9                              SOT23                             SOT23                           
C50                             C0603                             C0603                           
C59                             C0805                             C0805                           
C4                              C0402                             C0402                           
C15                             C0402                             C0402                           
C61                             C0805                             C0805                           
R66                             R0402                             R0402                           
J1                              CLP-114-02-F-DH                   CLP-114-02-F-DH                 


---------------    Tue Jan 02 20:14:37 2018  ---------------




---------------    Tue Jan 02 20:14:37 2018  ---------------


