=======================================================================
Xpedition Layout - Version 117.0.817.8330
=======================================================================

RELOAD CELLS

Job Directory:  H:\SPIROSE\PCB\LED_PANEL\PCB\


Design Units:(mm)

Replace Cell Log:   repCellLog71.txt

Tue Jan 16 15:02:27 2018

Reference Designator            Cell Name                         New Cell Name
===============================================================================


---------------  RELOAD CELLS  Tue Jan 16 15:02:27 2018  ---------------




---------------  RELOAD CELLS TMP  Tue Jan 16 15:02:27 2018  ---------------


D1176                           LRTBR48G                          LRTBR48G                        
D1002                           LRTBR48G                          LRTBR48G                        
D1084                           LRTBR48G                          LRTBR48G                        
D1187                           LRTBR48G                          LRTBR48G                        
D1012                           LRTBR48G                          LRTBR48G                        
D14                             LRTBR48G                          LRTBR48G                        
D407                            LRTBR48G                          LRTBR48G                        
D876                            LRTBR48G                          LRTBR48G                        
D1121                           LRTBR48G                          LRTBR48G                        
D1599                           LRTBR48G                          LRTBR48G                        
D458                            LRTBR48G                          LRTBR48G                        
D201                            LRTBR48G                          LRTBR48G                        
D311                            LRTBR48G                          LRTBR48G                        
D1336                           LRTBR48G                          LRTBR48G                        
D1638                           LRTBR48G                          LRTBR48G                        
D1045                           LRTBR48G                          LRTBR48G                        
D153                            LRTBR48G                          LRTBR48G                        
D1254                           LRTBR48G                          LRTBR48G                        
D1059                           LRTBR48G                          LRTBR48G                        
D384                            LRTBR48G                          LRTBR48G                        
D993                            LRTBR48G                          LRTBR48G                        
D844                            LRTBR48G                          LRTBR48G                        
D984                            LRTBR48G                          LRTBR48G                        
D1703                           LRTBR48G                          LRTBR48G                        
D985                            LRTBR48G                          LRTBR48G                        
D387                            LRTBR48G                          LRTBR48G                        
D477                            LRTBR48G                          LRTBR48G                        
D1119                           LRTBR48G                          LRTBR48G                        
D47                             LRTBR48G                          LRTBR48G                        
D58                             LRTBR48G                          LRTBR48G                        
D181                            LRTBR48G                          LRTBR48G                        
D291                            LRTBR48G                          LRTBR48G                        
D838                            LRTBR48G                          LRTBR48G                        
D1640                           LRTBR48G                          LRTBR48G                        
D749                            LRTBR48G                          LRTBR48G                        
