
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
02-0116                          R26                             2171   1      1   1   1 1           1 0 UB3D1_SIN           (4347-494-13)
02-0116                          R26                             2171   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0116                          R27                             2168   1      1   1   1 1           1 0 UB3D2_SIN           (4347-384-13)
02-0116                          R27                             2168   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0116                          R28                             2172   1      1   1   1 1           1 0 UB4D0_SIN           (4347-549-13)
02-0116                          R28                             2172   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0116                          R29                             2173   1      1   1   1 1           1 0 UB4D1_SIN           (4347-604-13)
02-0116                          R29                             2173   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0116                          R30                             2174   1      1   1   1 1           1 0 UB4D2_SIN           (4347-659-13)
02-0116                          R30                             2174   1      2   1   1 2           2 0 GND                 (4178-22-13)
02-0116                          R39                             2153   1      1   1   1 1           1 0 XSIG091063          (4771-38-13)
02-0116                          R39                             2153   1      2   1   1 2           2 0 UB0D0_SCLK          (4178-7-13)
02-0116                          R40                             2151   1      1   1   1 1           1 0 XSIG091064          (4771-39-13)
02-0116                          R40                             2151   1      2   1   1 2           2 0 UB0D1_SCLK          (4178-12-13)
02-0116                          R41                             2157   1      1   1   1 1           1 0 XSIG091065          (4771-40-13)
02-0116                          R41                             2157   1      2   1   1 2           2 0 UB0D2_SCLK          (4178-19-13)
02-0116                          R42                             2152   1      1   1   1 1           1 0 XSIG091066          (4771-41-13)
02-0116                          R42                             2152   1      2   1   1 2           2 0 UB1D0_SCLK          (4347-108-13)
02-0116                          R43                             2155   1      1   1   1 1           1 0 XSIG091067          (4771-42-13)
02-0116                          R43                             2155   1      2   1   1 2           2 0 UB1D1_SCLK          (4347-163-13)
02-0116                          R44                             2154   1      1   1   1 1           1 0 XSIG091068          (4771-43-13)
02-0116                          R44                             2154   1      2   1   1 2           2 0 UB1D2_SCLK          (4347-53-13)
02-0116                          R45                             2156   1      1   1   1 1           1 0 XSIG091069          (4771-44-13)
02-0116                          R45                             2156   1      2   1   1 2           2 0 UB2D0_SCLK          (4347-218-13)
02-0116                          R46                             2158   1      1   1   1 1           1 0 XSIG091070          (4771-45-13)
02-0116                          R46                             2158   1      2   1   1 2           2 0 UB2D2_SCLK          (4347-328-13)
02-0116                          R47                             2160   1      1   1   1 1           1 0 XSIG090291          (4771-16-13)
02-0116                          R47                             2160   1      2   1   1 2           2 0 UB2D1_SCLK          (4347-273-13)
02-0116                          R48                             2164   1      1   1   1 1           1 0 XSIG090292          (4771-17-13)
02-0116                          R48                             2164   1      2   1   1 2           2 0 UB3D0_SCLK          (4347-438-13)
02-0116                          R49                             2159   1      1   1   1 1           1 0 XSIG090293          (4771-18-13)
02-0116                          R49                             2159   1      2   1   1 2           2 0 UB3D1_SCLK          (4347-493-13)
02-0116                          R50                             2162   1      1   1   1 1           1 0 XSIG090294          (4771-19-13)
02-0116                          R50                             2162   1      2   1   1 2           2 0 UB3D2_SCLK          (4347-383-13)
02-0116                          R51                             2163   1      1   1   1 1           1 0 XSIG090295          (4771-20-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
02-0116                          R51                             2163   1      2   1   1 2           2 0 UB4D0_SCLK          (4347-548-13)
02-0116                          R52                             2165   1      1   1   1 1           1 0 XSIG090296          (4771-21-13)
02-0116                          R52                             2165   1      2   1   1 2           2 0 UB4D1_SCLK          (4347-603-13)
02-0116                          R53                             2161   1      1   1   1 1           1 0 XSIG090297          (4771-22-13)
02-0116                          R53                             2161   1      2   1   1 2           2 0 UB4D2_SCLK          (4347-658-13)
02-0116                          R54                             2147   1      1   1   1 1           1 0 XSIG090177          (4771-9-13)
02-0116                          R54                             2147   1      2   1   1 2           2 0 UB2D1_GCLK          (4347-271-13)
02-0116                          R55                             2148   1      1   1   1 1           1 0 XSIG090178          (4771-10-13)
02-0116                          R55                             2148   1      2   1   1 2           2 0 UB3D0_GCLK          (4347-436-13)
02-0116                          R56                             2149   1      1   1   1 1           1 0 XSIG090179          (4771-11-13)
02-0116                          R56                             2149   1      2   1   1 2           2 0 UB3D1_GCLK          (4347-491-13)
02-0116                          R57                             2150   1      1   1   1 1           1 0 XSIG090180          (4771-12-13)
02-0116                          R57                             2150   1      2   1   1 2           2 0 UB3D2_GCLK          (4347-381-13)
02-0116                          R58                             2144   1      1   1   1 1           1 0 XSIG090181          (4771-13-13)
02-0116                          R58                             2144   1      2   1   1 2           2 0 UB4D0_GCLK          (4347-546-13)
02-0116                          R59                             2146   1      1   1   1 1           1 0 XSIG090182          (4771-14-13)
02-0116                          R59                             2146   1      2   1   1 2           2 0 UB4D1_GCLK          (4347-601-13)
02-0116                          R60                             2145   1      1   1   1 1           1 0 XSIG090183          (4771-15-13)
02-0116                          R60                             2145   1      2   1   1 2           2 0 UB4D2_GCLK          (4347-656-13)
02-0116                          R61                             2137   1      1   1   1 1           1 0 XSIG090090          (4771-1-13)
02-0116                          R61                             2137   1      2   1   1 2           2 0 UB0D0_GCLK          (4178-5-13)
02-0116                          R62                             2138   1      1   1   1 1           1 0 XSIG090091          (4771-2-13)
02-0116                          R62                             2138   1      2   1   1 2           2 0 UB0D1_GCLK          (4178-10-13)
02-0116                          R63                             2139   1      1   1   1 1           1 0 XSIG090092          (4771-3-13)
02-0116                          R63                             2139   1      2   1   1 2           2 0 UB0D2_GCLK          (4178-17-13)
02-0116                          R64                             2136   1      1   1   1 1           1 0 XSIG090093          (4771-4-13)
02-0116                          R64                             2136   1      2   1   1 2           2 0 UB1D0_GCLK          (4347-106-13)
02-0116                          R65                             2140   1      1   1   1 1           1 0 XSIG090094          (4771-5-13)
02-0116                          R65                             2140   1      2   1   1 2           2 0 UB1D1_GCLK          (4347-161-13)
02-0116                          R66                             2141   1      1   1   1 1           1 0 XSIG090095          (4771-6-13)
02-0116                          R66                             2141   1      2   1   1 2           2 0 UB1D2_GCLK          (4347-51-13)
02-0116                          R67                             2142   1      1   1   1 1           1 0 XSIG090096          (4771-7-13)
02-0116                          R67                             2142   1      2   1   1 2           2 0 UB2D0_GCLK          (4347-216-13)
02-0116                          R68                             2143   1      1   1   1 1           1 0 XSIG090097          (4771-8-13)
02-0116                          R68                             2143   1      2   1   1 2           2 0 UB2D2_GCLK          (4347-326-13)
02-0116                          R69                             2124   1      1   1   1 1           1 0 XSIG090329          (4771-31-13)
02-0116                          R69                             2124   1      2   1   1 2           2 0 UB2D1_LAT           (4347-272-13)
02-0116                          R70                             2121   1      1   1   1 1           1 0 XSIG090330          (4771-32-13)
02-0116                          R70                             2121   1      2   1   1 2           2 0 UB3D0_LAT           (4347-437-13)
02-0116                          R71                             2125   1      1   1   1 1           1 0 XSIG090331          (4771-33-13)
02-0116                          R71                             2125   1      2   1   1 2           2 0 UB3D1_LAT           (4347-492-13)
02-0116                          R72                             2126   1      1   1   1 1           1 0 XSIG090332          (4771-34-13)
02-0116                          R72                             2126   1      2   1   1 2           2 0 UB3D2_LAT           (4347-382-13)
02-0116                          R73                             2122   1      1   1   1 1           1 0 XSIG090333          (4771-35-13)
02-0116                          R73                             2122   1      2   1   1 2           2 0 UB4D0_LAT           (4347-547-13)
02-0116                          R74                             2123   1      1   1   1 1           1 0 XSIG090334          (4771-36-13)
02-0116                          R74                             2123   1      2   1   1 2           2 0 UB4D1_LAT           (4347-602-13)
02-0116                          R75                             2127   1      1   1   1 1           1 0 XSIG090335          (4771-37-13)
02-0116                          R75                             2127   1      2   1   1 2           2 0 UB4D2_LAT           (4347-657-13)
02-0116                          R76                             2133   1      1   1   1 1           1 0 XSIG090310          (4771-23-13)
02-0116                          R76                             2133   1      2   1   1 2           2 0 UB0D0_LAT           (4178-6-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
02-0116                          R77                             2128   1      1   1   1 1           1 0 XSIG090311          (4771-24-13)
02-0116                          R77                             2128   1      2   1   1 2           2 0 UB0D1_LAT           (4178-11-13)
02-0116                          R78                             2132   1      1   1   1 1           1 0 XSIG090312          (4771-25-13)
02-0116                          R78                             2132   1      2   1   1 2           2 0 UB0D2_LAT           (4178-18-13)
02-0116                          R79                             2130   1      1   1   1 1           1 0 XSIG090313          (4771-26-13)
02-0116                          R79                             2130   1      2   1   1 2           2 0 UB1D0_LAT           (4347-107-13)
02-0116                          R80                             2134   1      1   1   1 1           1 0 XSIG090314          (4771-27-13)
02-0116                          R80                             2134   1      2   1   1 2           2 0 UB1D1_LAT           (4347-162-13)
02-0116                          R81                             2129   1      1   1   1 1           1 0 XSIG090315          (4771-28-13)
02-0116                          R81                             2129   1      2   1   1 2           2 0 UB1D2_LAT           (4347-52-13)
02-0116                          R82                             2131   1      1   1   1 1           1 0 XSIG090316          (4771-29-13)
02-0116                          R82                             2131   1      2   1   1 2           2 0 UB2D0_LAT           (4347-217-13)
02-0116                          R83                             2135   1      1   1   1 1           1 0 XSIG090317          (4771-30-13)
02-0116                          R83                             2135   1      2   1   1 2           2 0 UB2D2_LAT           (4347-327-13)
10-0057                          C46                             2029   1      1   1   1 1           1 0 +5V                 (4771-46-13)
10-0057                          C46                             2029   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0057                          C47                             2032   1      1   1   1 1           1 0 +5V                 (4771-46-13)
10-0057                          C47                             2032   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0057                          C48                             2031   1      1   1   1 1           1 0 +5V                 (4771-46-13)
10-0057                          C48                             2031   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0057                          C49                             2034   1      1   1   1 1           1 0 +5V                 (4771-46-13)
10-0057                          C49                             2034   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0057                          C50                             2036   1      1   1   1 1           1 0 +5V                 (4771-46-13)
10-0057                          C50                             2036   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0057                          C51                             2035   1      1   1   1 1           1 0 +5V                 (4771-46-13)
10-0057                          C51                             2035   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0057                          C52                             2030   1      1   1   1 1           1 0 +5V                 (4771-46-13)
10-0057                          C52                             2030   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0057                          C60                             2033   1      1   1   1 1           1 0 +5V                 (4771-46-13)
10-0057                          C60                             2033   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C16                             1990   1      1   1   1 1           1 0 XSIG090169          (4347-664-13)
10-0058                          C16                             1990   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C17                             1993   1      1   1   1 1           1 0 XSIG090186          (4347-667-13)
10-0058                          C17                             1993   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C18                             1996   1      1   1   1 1           1 0 XSIG090281          (4347-670-13)
10-0058                          C18                             1996   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C19                             1999   1      1   1   1 1           1 0 XSIG090300          (4347-673-13)
10-0058                          C19                             1999   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C20                             1987   1      1   1   1 1           1 0 XSIG090319          (4347-676-13)
10-0058                          C20                             1987   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C21                             1984   1      1   1   1 1           1 0 XSIG090338          (4347-679-13)
10-0058                          C21                             1984   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C22                             1989   1      1   1   1 1           1 0 XSIG090169          (4347-664-13)
10-0058                          C22                             1989   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C23                             1988   1      1   1   1 1           1 0 XSIG090169          (4347-664-13)
10-0058                          C23                             1988   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C24                             1992   1      1   1   1 1           1 0 XSIG090186          (4347-667-13)
10-0058                          C24                             1992   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C25                             1991   1      1   1   1 1           1 0 XSIG090186          (4347-667-13)
10-0058                          C25                             1991   1      2   1   1 2           2 0 GND                 (4178-22-13)
10-0058                          C26                             1995   1      1   1   1 1           1 0 XSIG090281          (4347-670-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0058                          C26                             1995   1      2   1   1 2           2 0 GND                 (4178-22-13)
